# {"t_start": 1591841061.3516812, "env_id": "Humanoid-v2"} 
r,l,t
92.272982,19,6.563054
96.957204,20,6.66063
82.55638,17,6.751171
168.670686,33,6.918652
86.881888,18,7.01844
103.84442,21,7.16629
82.742034,17,7.26319
81.374708,17,7.368178
108.902121,25,7.59195
114.66646,23,7.757054
111.674196,24,7.954487
81.666624,17,8.044687
86.239113,18,8.162142
88.073291,18,8.289659
178.571508,38,8.538862
93.682141,19,8.632491
81.401251,17,8.749538
97.217146,20,8.874335
81.498245,17,8.975673
124.602464,26,9.178987
81.346061,17,9.294988
76.444539,16,9.451416
129.543878,26,9.716375
81.216708,17,9.832932
81.251525,17,9.968143
81.336239,17,10.089265
124.00463,24,10.256213
155.475865,30,10.451096
81.076336,17,10.596815
129.621036,26,10.887645
124.378134,25,11.097623
81.191422,17,11.244858
85.867205,18,11.383109
166.97922,35,11.650704
91.738184,19,11.771868
91.060403,19,11.917991
208.67699,40,12.234057
76.696135,16,12.360905
81.492007,17,12.487615
86.443865,18,12.644947
160.573426,33,12.920679
102.078311,21,13.066685
93.713946,20,13.217299
81.567228,17,13.348218
91.607809,19,13.481483
158.762472,31,13.709376
93.089832,19,13.842786
131.206546,27,14.00527
106.303428,22,14.170465
86.775642,18,14.295203
96.306712,20,14.422172
115.188284,25,14.601043
123.285193,25,14.768365
97.41402,20,14.91649
81.229752,17,15.019386
124.552972,25,15.202847
113.038847,23,15.37326
148.781309,32,15.601446
144.855953,29,15.840796
100.89765,20,15.974933
138.623472,28,16.14929
179.918736,35,16.37707
86.514454,18,16.492414
144.391591,29,16.687844
86.603633,18,16.807338
86.272697,18,16.952945
152.946034,34,17.180406
143.463534,31,17.394586
81.234004,17,17.492959
86.179981,18,17.618337
81.335353,17,17.720251
155.537637,30,17.899001
87.201181,18,18.012609
85.735959,18,18.115454
146.023338,29,18.284472
81.659566,17,18.418903
101.793236,20,18.539374
117.226485,25,18.710297
76.277273,16,18.797836
126.065687,25,18.975626
87.240637,18,19.107372
113.865129,23,19.264603
97.695913,20,19.402594
183.601778,36,19.696179
173.640462,37,19.93055
127.402601,25,20.089327
81.388724,17,20.189958
83.060391,17,20.295177
128.076452,26,20.507756
148.279389,31,20.763505
81.549802,17,20.91614
175.911735,36,24.770318
134.470676,27,24.940331
87.214527,18,25.060656
129.255948,26,25.203322
81.389426,17,25.314197
92.239525,19,25.453269
76.650079,16,25.566865
144.578892,28,25.755929
87.421853,18,25.873974
123.116472,25,26.074974
98.534624,20,26.215184
134.58155,28,26.395295
76.716665,16,26.496954
113.503877,23,26.673205
81.403462,17,26.912482
90.488928,20,27.133659
92.430055,19,27.287956
103.160011,21,27.436555
76.905521,16,27.555278
87.031465,18,27.692869
118.157143,24,27.887454
132.603074,28,28.075607
81.442151,17,28.207983
118.564543,24,28.397147
86.311087,18,28.510323
81.186626,17,28.633964
115.607816,23,28.79755
161.067535,34,29.037248
116.040192,23,29.197538
167.302095,35,29.51912
93.7617,19,29.729757
159.060873,33,30.00498
101.953332,21,30.199847
105.650814,21,30.332955
135.379398,30,30.559861
120.785974,25,30.737628
81.524867,17,30.822247
81.847693,17,30.980285
139.262692,29,31.194457
212.478914,43,31.501816
160.832416,37,31.789469
172.004139,36,32.115645
122.637352,25,32.374711
91.671021,19,32.530869
76.622894,16,32.677931
151.991633,31,33.015809
85.91278,18,33.10771
126.990607,25,33.231196
85.998159,18,33.340972
153.179975,31,33.530049
93.799032,19,33.68719
107.761363,22,33.907834
81.278702,17,34.01922
138.187915,27,34.205347
98.088744,20,34.372221
81.673288,17,34.497954
158.295752,33,34.737226
71.820647,15,34.860846
81.288275,17,34.994111
99.641933,21,35.120538
152.319879,31,35.431392
81.161134,17,35.57626
114.13702,23,35.791772
185.511742,36,36.038405
98.360431,20,36.194511
81.684575,17,36.296783
81.338744,17,36.382427
118.483762,24,36.515309
139.346495,28,36.721308
109.982185,22,36.888159
81.361099,17,37.023173
97.789486,20,37.1675
116.219977,25,37.406148
145.91173,30,37.609631
196.668121,45,37.91325
84.589458,18,38.044745
158.399098,31,38.25502
103.084544,21,38.41284
141.411543,29,38.603868
96.863611,20,38.733306
81.188318,17,38.835743
121.388007,26,38.987575
76.428592,16,39.082688
110.410338,23,39.22668
97.446161,20,39.372709
128.354388,27,39.561039
105.488245,21,39.711772
121.531303,24,44.05491
117.046248,24,44.228683
192.687957,37,44.541789
71.580545,15,44.66422
161.451162,32,44.903056
91.552529,19,45.059515
92.908569,19,45.160229
87.087169,18,45.296312
96.524815,21,45.457274
81.458375,17,45.620186
114.598378,23,45.834737
81.49745,17,45.953212
91.779032,19,46.07477
148.903823,30,46.258848
