approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,regularization_pi,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.003951966,0.24731445,22.93,111.16136812999999,-0.07085156440734863,450,1,24.126345,-0.019762252,0.055259038,2048,18.193943738937378,8192,0.88409615
0.003923853,0.24497071,22.73,110.93175287,0.011409878730773926,420,2,24.133488,-0.023441356,0.042955324,4096,37.65762662887573,16384,0.6010512
0.0043307818,0.27054444,22.57,110.30698522,0.2515438199043274,474,3,24.130411,-0.024378553,0.03729254,6144,54.92447781562805,24576,0.4600404
0.0048011793,0.29489747,23.35,114.13853181,0.4100285768508911,448,4,24.127918,-0.02654866,0.03411904,8192,73.17035102844238,32768,0.34810892
0.0050923126,0.30496827,24.4,120.11412465,0.5153360366821289,469,5,24.117865,-0.027533507,0.031982087,10240,90.61506938934326,40960,0.26115674
0.00516379,0.31490478,26.73,131.61504234,0.5902782678604126,469,6,24.110607,-0.02730241,0.03039433,12288,108.06592798233032,49152,0.20923218
0.0053504813,0.31464845,26.88,132.25084675999997,0.6284190714359283,420,7,24.086973,-0.02727766,0.02915729,14336,127.53086447715759,57344,0.18348669
0.0052217026,0.31242675,29.93,147.04195538,0.6610950529575348,402,8,24.070698,-0.026732594,0.028119737,16384,147.86004877090454,65536,0.17520311
0.0060393037,0.33841553,29.48,145.88900779,0.7066157460212708,419,9,24.070438,-0.028028375,0.027247865,18432,167.387859582901,73728,0.13265097
0.0063196993,0.35235596,34.95,172.60053313,0.6981860101222992,409,10,24.074846,-0.02997109,0.026473936,20480,187.3870644569397,81920,0.15515332
0.006450247,0.34979248,36.93,182.49082036,0.7333899736404419,437,11,24.04076,-0.029491847,0.025807839,22528,206.10151314735413,90112,0.14163654
0.006520188,0.35758057,39.98,198.68082395,0.7485663592815399,414,12,24.017637,-0.029762948,0.025214955,24576,225.84520959854126,98304,0.13217911
0.0066280277,0.3613159,37.81,187.10380121000003,0.7784591019153595,381,13,24.00227,-0.028641928,0.024734285,26624,247.30708575248718,106496,0.10287221
0.006114091,0.34293213,47.91,238.66689046000002,0.7817366272211075,380,14,23.9963,-0.028965678,0.024326298,28672,268.82134342193604,114688,0.12037502
0.0069828727,0.37059325,46.95,235.27000515,0.787929505109787,414,15,23.956812,-0.029944653,0.023948094,30720,288.565181016922,122880,0.10557755
0.006840918,0.3621704,48.37,241.06195661,0.8279700577259064,396,16,23.924164,-0.029853065,0.023623073,32768,309.24298644065857,131072,0.08444199
0.0066701053,0.36312255,53.34,267.14971170000007,0.8369482755661011,379,17,23.897625,-0.028469112,0.023324627,34816,330.85276436805725,139264,0.07900374
0.006761776,0.36018068,56.01,282.13218516999996,0.8618530631065369,413,18,23.87495,-0.029338289,0.023074854,36864,350.6509735584259,147456,0.067817025
0.0070210462,0.371875,59.13,302.16881372,0.8731444329023361,400,19,23.849962,-0.029554993,0.02284595,38912,371.0823452472687,155648,0.05941669
0.007063347,0.37137452,61.29,305.29709262,0.8744895607233047,412,20,23.82514,-0.029298604,0.022617122,40960,390.94160890579224,163840,0.057570226
0.0069519146,0.3750244,61.28,309.16961565,0.8700771480798721,410,21,23.79745,-0.028830077,0.022395669,43008,410.9107632637024,172032,0.057697367
0.007257978,0.3803833,63.68,322.58289486999996,0.8856889307498932,388,22,23.786768,-0.028871123,0.02219725,45056,432.0235996246338,180224,0.0511881
0.006920036,0.3687256,65.54,333.2072014600001,0.9060160666704178,393,23,23.77028,-0.029173464,0.021984313,47104,452.8353717327118,188416,0.042027928
0.0068683214,0.3697998,65.96,335.66555597,0.9122299998998642,422,24,23.757307,-0.028052634,0.021800695,49152,472.21906542778015,196608,0.038546998
0.0071183653,0.3743042,66.22,336.11828627999995,0.9127748906612396,400,25,23.759167,-0.028355177,0.021631006,51200,492.6682426929474,204800,0.038325965
0.0071636857,0.37485352,67.6,347.08097241999997,0.9107474163174629,399,26,23.745895,-0.028698578,0.021476213,53248,513.1662445068359,212992,0.038349092
0.0072015612,0.3796509,67.88,343.44563197,0.9281183779239655,412,27,23.730673,-0.028471362,0.02133873,55296,533.0449230670929,221184,0.030221706
0.0072671594,0.3774658,69.45,352.33741731000003,0.9261480197310448,392,28,23.70375,-0.028459603,0.021187406,57344,553.8984048366547,229376,0.030518502
0.007275127,0.37559813,69.21,355.54533937999986,0.9314087107777596,396,29,23.693201,-0.028132688,0.021083493,59392,574.5680005550385,237568,0.026687186
0.007081063,0.37153322,70.51,362.18679771999996,0.9253653660416603,399,30,23.698622,-0.027555168,0.020997006,61440,595.0863075256348,245760,0.030277178
0.0074524977,0.38303223,71.89,363.63347598000007,0.9302942380309105,427,31,23.682865,-0.028348714,0.020887185,63488,614.2507474422455,253952,0.028451849
0.007493321,0.38208008,75.85,384.68560138,0.9264341443777084,405,32,23.66732,-0.029075652,0.020810928,65536,634.4498171806335,262144,0.028855676
0.0075012534,0.38157958,74.18,373.60658407999995,0.9343068078160286,398,33,23.645695,-0.02823466,0.020734932,67584,655.0167231559753,270336,0.02627194
0.007780736,0.39176026,73.57,376.11219843999993,0.9299763962626457,433,34,23.630808,-0.027981814,0.020657822,69632,673.9327600002289,278528,0.028739456
0.007709245,0.39344484,75.5,383.2817542,0.9332411214709282,397,35,23.611553,-0.027862936,0.020574696,71680,694.5423250198364,286720,0.026710581
0.007438573,0.3864502,76.85,386.30791752000005,0.9366013407707214,415,36,23.590107,-0.027279194,0.02048525,73728,714.273698091507,294912,0.024343489
0.007846486,0.39675292,79.49,409.36236794999996,0.9332234561443329,406,37,23.588139,-0.028023684,0.020410098,75776,734.4094722270966,303104,0.026334751
