# {"t_start": 1591861162.6820824, "env_id": "Humanoid-v2"} 
r,l,t
92.272982,19,3.057634
96.957204,20,3.116095
82.55638,17,3.158727
168.670686,33,3.252737
86.881888,18,3.310954
103.84442,21,3.37574
82.742034,17,3.425035
81.374708,17,3.47214
108.902121,25,3.544872
114.66646,23,3.609848
111.674196,24,3.677245
81.666624,17,3.721946
86.239113,18,3.773627
88.073291,18,3.826614
178.571508,38,3.93464
93.682141,19,3.994712
81.401251,17,4.042199
97.217146,20,4.101747
81.498245,17,4.152899
124.602464,26,4.228508
81.346061,17,4.276226
76.444539,16,4.322828
129.543878,26,4.402499
81.216708,17,4.45115
81.251525,17,4.500839
81.336239,17,4.55213
124.00463,24,4.623138
155.475865,30,4.723595
81.076336,17,4.775434
129.621036,26,4.850887
124.378134,25,4.921104
81.191422,17,4.974292
85.867205,18,5.025056
166.97922,35,5.137934
91.738184,19,5.198615
91.060403,19,5.258334
208.67699,40,5.390463
76.696135,16,5.434046
81.492007,17,5.480906
86.443865,18,5.531682
160.573426,33,5.630887
102.078311,21,5.69218
93.713946,20,5.748958
81.567228,17,5.798695
91.607809,19,5.853667
158.762472,31,5.941864
93.089832,19,5.995314
131.206546,27,6.070227
106.303428,22,6.135462
86.775642,18,6.186299
96.306712,20,6.241539
115.188284,25,6.312728
123.285193,25,6.383736
97.41402,20,6.442589
81.229752,17,6.495099
124.552972,25,6.56568
113.038847,23,6.631709
148.781309,32,6.72004
144.855953,29,6.799641
100.89765,20,6.861191
138.623472,28,6.938848
179.918736,35,7.051091
86.514454,18,7.111747
144.391591,29,7.198406
86.603633,18,7.256146
86.272697,18,7.311285
152.946034,34,7.41853
143.463534,31,7.513477
81.234004,17,7.56602
86.179981,18,7.618094
81.335353,17,7.663196
155.537637,30,7.751514
87.201181,18,7.807804
85.735959,18,7.862678
146.023338,29,7.954048
81.659566,17,8.005933
101.793236,20,8.066719
117.226485,25,8.138708
76.277273,16,8.186043
126.065687,25,8.254736
87.240637,18,8.309926
113.865129,23,8.38304
97.695913,20,8.447634
183.601778,36,8.559308
173.640462,37,8.667163
127.402601,25,8.737917
81.388724,17,8.788981
83.060391,17,8.839925
128.076452,26,8.912293
148.279389,31,9.004045
81.549802,17,9.052493
170.818606,35,10.978146
123.063464,24,11.047371
87.199821,18,11.099911
143.37705,28,11.182174
80.753696,17,11.237969
109.41312,23,11.303015
76.60852,16,11.345384
128.602361,25,11.416751
86.619133,18,11.471999
127.576046,26,11.550189
98.401658,20,11.606079
134.748702,28,11.678339
76.715488,16,11.726676
113.35297,23,11.789285
81.404533,17,11.842576
90.318162,20,11.899513
92.381387,19,11.957787
103.225134,21,12.021216
76.900555,16,12.07171
87.002123,18,12.126449
113.223103,23,12.190088
140.201687,29,12.26855
81.44764,17,12.314579
118.412213,24,12.389194
86.314103,18,12.442922
81.188181,17,12.49406
120.896182,24,12.56056
157.314521,33,12.653306
130.604717,26,12.725439
114.42025,23,12.794446
87.710502,18,12.846398
125.758476,25,12.916674
210.293455,42,13.041636
89.747095,18,13.089876
135.594637,30,13.177059
125.650589,26,13.248453
81.558057,17,13.29596
81.672109,17,13.348181
136.718999,28,13.432859
249.743514,50,13.575726
139.093231,28,13.654519
183.373004,38,13.761991
127.240076,26,13.832665
91.938294,19,13.888264
76.588764,16,13.93254
148.483149,30,14.023521
86.099446,18,14.08046
126.996135,25,14.152571
85.993219,18,14.200677
157.990884,32,14.289528
140.163793,28,14.370496
81.413269,17,14.428167
108.651004,24,14.499351
81.193527,17,14.548281
98.299821,20,14.610464
87.427244,18,14.657389
112.720057,23,14.721963
81.245087,17,14.770681
139.907842,28,14.852703
91.414749,19,14.910918
142.176852,29,15.001822
188.796534,36,15.106221
189.356403,38,15.213856
98.471653,20,15.27389
81.640751,17,15.319259
76.79503,16,15.3681
125.402091,25,15.442904
138.868536,28,15.525091
110.29216,22,15.593445
81.386743,17,15.642915
103.074402,21,15.704933
149.629151,32,15.805039
128.55424,25,15.881733
155.379774,34,15.980541
94.260678,20,16.038718
160.159353,32,16.131717
226.761904,48,16.277191
94.501552,19,16.336454
81.564448,17,16.38831
138.330174,29,16.477644
137.888419,28,16.568346
95.329577,20,16.625113
102.569981,21,16.686147
95.025592,19,16.742826
120.267701,24,16.812308
132.929003,26,18.561494
190.474156,39,18.692894
87.466395,18,18.749264
76.412782,16,18.802925
178.446851,37,18.90504
149.166462,31,18.998859
86.989933,18,19.052739
145.155364,29,19.136811
96.906859,20,19.194118
81.285462,17,19.241185
87.958011,18,19.292438
106.287551,22,19.357102
182.369494,35,19.456293
81.821437,17,19.502696
81.968193,17,19.550809
87.07963,18,19.602475
135.365927,27,19.682996
76.452975,16,19.732726
84.954981,18,19.782514
76.552962,16,19.830346
123.222639,24,19.897814
93.831727,19,19.947916
92.811857,19,20.004465
130.230513,29,20.097066
76.325895,16,20.147957
94.334596,19,20.208298
124.532113,27,20.286393
173.568081,34,20.384189
85.801981,18,20.43666
117.307839,24,20.507242
98.288662,20,20.562272
169.329691,34,20.661221
116.659726,23,20.723374
112.583147,23,20.788503
87.007145,18,20.839576
121.094421,25,20.916434
141.192916,27,20.992512
167.006129,33,21.083962
118.137455,24,21.154322
87.030189,18,21.202596
206.137924,44,21.325131
120.352744,24,21.394071
119.11486,24,21.469834
123.452069,26,21.54998
76.740877,16,21.595648
92.687456,19,21.64693
91.069694,19,21.700065
81.104634,17,21.749154
146.65393,29,21.835664
152.389291,32,21.925471
141.890802,30,22.009362
82.555973,17,22.056462
92.523862,19,22.11335
87.292518,18,22.16801
86.228085,18,22.220489
97.132378,20,22.280185
172.827824,34,22.380682
217.933268,42,22.50498
160.687802,31,22.594822
81.389706,17,22.646613
76.722893,16,22.695198
97.43827,20,22.74776
175.118237,33,22.835033
141.707909,28,22.920098
81.258188,17,22.969253
98.668928,20,23.030599
231.397774,49,23.178928
127.799018,26,23.256949
86.852037,18,23.313947
86.317967,18,23.373393
105.815604,23,23.439434
93.539218,19,23.493108
98.144488,20,23.548439
114.600472,23,23.619258
142.942662,29,23.702938
76.496079,16,23.749156
76.611006,16,23.79528
81.364253,17,23.844052
81.112184,17,23.887753
85.826997,18,23.941738
136.044138,28,24.025437
86.034304,18,24.080224
105.404883,21,24.144847
168.167453,33,24.246424
111.483318,23,24.314479
104.401851,21,24.37729
76.750303,16,24.424668
76.775303,16,24.472549
113.330156,24,26.273777
132.630507,28,26.359129
114.072486,23,26.42605
81.443285,17,26.480312
127.065323,25,26.553146
264.919673,52,26.717345
86.301622,18,26.767409
87.801102,18,26.812585
127.990644,26,26.891629
107.111598,22,26.952186
162.7025,33,27.050701
131.794538,26,27.127468
166.614502,33,27.224164
88.175033,18,27.276287
114.085471,23,27.342805
86.632629,18,27.395267
226.231345,43,27.517002
131.244664,26,27.589513
113.861183,23,27.653672
168.788133,35,27.751074
87.281466,18,27.803776
120.679158,24,27.870898
123.430498,25,27.950809
127.763232,27,28.024489
124.989256,25,28.096513
235.795822,48,28.240938
91.173639,19,28.294351
160.34314,35,28.396469
139.186913,28,28.47635
98.105664,20,28.53158
85.929262,18,28.586003
142.114106,28,28.669117
134.259209,27,28.747096
122.209058,25,28.816875
76.580134,16,28.862817
126.954795,26,28.934713
110.928272,23,29.003373
86.061849,18,29.049059
81.562101,17,29.098374
76.617794,16,29.146442
81.452919,17,29.194978
125.8309,25,29.2732
130.658097,26,29.34993
76.530188,16,29.401115
184.948737,34,29.502343
93.011813,19,29.563407
193.469079,41,29.685592
76.2239,16,29.735075
101.81423,21,29.801627
106.464171,21,29.863113
81.316996,17,29.909776
119.01249,24,29.979316
128.768073,26,30.061389
155.490706,32,30.152453
103.168463,21,30.217854
84.291604,18,30.267342
156.627296,32,30.350808
94.129051,19,30.403597
93.029999,19,30.456738
132.037274,26,30.530224
140.306573,27,30.608738
119.539212,25,30.676543
127.692598,25,30.746571
76.685352,16,30.792836
76.498095,16,30.840563
116.394349,25,30.911752
118.152928,25,30.980688
76.701108,16,31.02755
97.48498,20,31.07854
85.966252,18,31.124916
81.412044,17,31.174871
157.029598,31,31.260551
99.428043,20,31.321069
213.507774,43,31.452934
121.962903,24,31.530938
79.790247,17,31.58032
123.381284,25,31.655292
87.269798,18,31.708395
92.71173,19,31.765375
314.58831,64,31.959177
153.613487,31,32.051371
103.564231,21,32.110668
97.013186,20,32.173368
103.986063,21,32.230512
104.104454,21,33.988036
163.137165,32,34.083397
76.667299,16,34.129266
146.89763,30,34.216334
76.540659,16,34.266062
92.233142,19,34.321785
114.50621,23,34.388001
130.566387,27,34.463886
81.206826,17,34.512731
146.724109,29,34.59115
120.551257,24,34.661882
227.300613,47,34.793331
81.47759,17,34.839289
138.393771,30,34.926189
103.467483,21,34.987974
144.214475,28,35.06679
102.966403,21,35.124709
99.713742,20,35.179422
200.629185,39,35.294496
92.069843,19,35.347463
91.78557,19,35.404932
123.988473,25,35.477762
81.118643,17,35.525525
110.470787,22,35.588904
151.753666,30,35.676865
120.60192,24,35.746517
169.468292,32,35.83992
108.520033,22,35.899819
103.114126,21,35.954855
86.300826,18,36.009319
102.855269,21,36.066288
153.42153,30,36.149128
135.217916,26,36.226928
87.635255,18,36.278099
113.432424,22,36.345215
105.021772,22,36.410854
81.708045,17,36.460635
132.23347,27,36.543011
113.031601,25,36.616898
134.150132,27,36.699271
119.769373,24,36.770922
81.538003,17,36.823167
81.472141,17,36.873046
93.220279,19,36.929573
102.878936,21,36.990403
254.259095,53,37.167213
115.290231,23,37.240031
88.283847,18,37.293744
87.803203,18,37.348493
166.306504,33,37.452341
147.416985,30,37.545493
142.527722,30,37.63644
112.272135,23,37.697547
97.504971,21,37.756501
141.466443,27,37.833795
76.373755,16,37.881546
196.189329,41,37.997436
91.667224,19,38.053208
81.223795,17,38.102827
173.425059,35,38.201479
138.468064,28,38.282143
81.172794,17,38.332233
160.618287,32,38.421254
127.940238,27,38.496881
162.191678,32,38.590843
129.39645,28,38.675246
81.379724,17,38.725054
141.343761,28,38.807751
92.135144,19,38.86245
93.875163,19,38.917645
86.407288,18,38.968141
100.697392,21,39.022244
76.642878,16,39.072537
110.757048,24,39.14223
114.794839,23,39.205733
146.418408,32,39.295508
116.885703,24,39.364769
160.992915,33,39.458082
103.485375,21,39.520846
120.352006,24,39.594262
104.775542,21,39.657254
127.139751,26,39.73879
159.874136,33,39.839482
142.019658,28,41.654553
135.974138,28,41.733216
181.238368,38,41.84023
94.27813,19,41.893548
81.306159,17,41.939415
87.492647,18,41.985426
92.801511,19,42.038775
91.003396,19,42.091533
178.224916,35,42.195899
104.406913,21,42.251127
104.878695,21,42.311431
142.795219,28,42.391272
208.219244,42,42.506782
179.412675,38,42.616646
127.230642,25,42.697102
152.244698,30,42.790257
118.389407,23,42.862463
93.957,19,42.916855
163.776201,33,43.020825
119.478347,25,43.096032
376.731271,75,43.325104
143.430801,30,43.409722
127.190971,27,43.489757
138.533413,29,43.573613
103.560147,21,43.632129
81.149482,17,43.679614
81.465144,17,43.725711
202.855543,41,43.84834
124.930256,26,43.933954
97.015665,20,43.98857
149.57984,32,44.082751
121.225472,25,44.155902
136.845632,29,44.236701
87.561194,18,44.288059
132.104795,29,44.361063
146.979591,29,44.443033
129.84028,26,44.513315
221.404682,42,44.635969
151.120207,33,44.733454
81.189745,17,44.781967
126.762088,25,44.853613
85.634041,18,44.901899
151.425423,30,44.995993
104.049845,21,45.061397
107.845297,22,45.132952
147.870323,30,45.21225
76.424745,16,45.25445
230.643911,45,45.385354
81.532303,17,45.433424
91.669168,19,45.492806
86.337104,18,45.550714
117.404499,23,45.622634
86.783199,18,45.669181
104.022363,21,45.72915
98.586064,21,45.788404
98.450545,20,45.843084
130.280448,26,45.92086
76.535457,16,45.967404
102.997827,21,46.029724
98.038263,20,46.089849
98.943733,20,46.148729
94.63751,19,46.203791
234.601318,45,46.336346
149.20822,30,46.43027
139.069904,29,46.505559
111.49115,23,46.569513
81.37183,17,46.618818
114.13319,23,46.685554
134.897555,28,46.767626
161.056196,34,46.865147
96.489661,20,46.920543
108.509013,22,46.983804
97.093906,20,47.041626
173.636342,36,47.145678
103.05524,21,47.209821
196.505163,41,47.325192
200.114519,39,47.439005
114.478561,23,47.505697
149.00973,31,49.269655
101.398631,21,49.329804
176.962878,36,49.435729
87.626743,18,49.497221
146.331033,31,49.578842
81.382013,17,49.628084
92.378299,19,49.681443
119.442426,24,49.750354
110.24543,22,49.815073
120.503596,24,49.889646
254.159925,54,50.055953
86.976065,18,50.108709
102.627362,21,50.170087
175.896723,34,50.269879
94.670196,19,50.32729
155.663979,30,50.418103
128.743506,27,50.498509
158.849938,32,50.596095
197.857065,39,50.712906
99.150113,20,50.770474
166.68871,32,50.861168
109.655862,23,50.928503
92.502625,19,50.975967
81.372363,17,51.026209
155.650469,32,51.111143
76.648039,16,51.161162
117.942008,25,51.237396
87.841564,18,51.289161
166.830412,35,51.392813
166.556229,34,51.49119
109.692519,23,51.55507
154.911035,32,51.642632
156.926525,32,51.731607
127.475791,25,51.808645
221.104368,47,51.94454
240.093555,48,52.081208
102.649364,21,52.142389
86.507416,18,52.197051
98.240224,20,52.256385
92.695122,19,52.305817
154.159714,31,52.395904
173.185508,35,52.48941
131.088584,27,52.569064
197.705023,40,52.688566
215.702559,43,52.807717
92.533791,19,52.859613
112.350828,24,52.930542
131.430244,26,53.008982
139.952935,30,53.091851
159.772266,33,53.189529
350.244072,65,53.382031
123.008554,27,53.457914
104.507589,21,53.520482
160.671014,32,53.607949
253.889887,57,53.773072
88.60314,18,53.825331
129.378124,29,53.908723
175.60804,35,54.007283
104.900779,21,54.06946
168.715072,34,54.165481
137.334974,27,54.249357
175.1535,34,54.349024
181.511151,39,54.458125
93.333678,19,54.518277
160.56809,33,54.616772
90.259599,19,54.673247
168.496766,33,54.771909
76.274419,16,54.817102
178.379206,37,54.924298
150.091307,34,55.022343
201.95889,44,55.144145
99.355503,20,55.204102
81.520085,17,57.010737
147.305554,29,57.104055
126.446765,25,57.175944
201.804058,42,57.310509
174.715223,35,57.415697
110.845251,22,57.482246
90.108268,20,57.544005
185.788898,36,57.647565
171.028559,37,57.753133
92.926524,19,57.809578
143.988973,28,57.887335
117.853708,24,57.955555
147.860639,29,58.042939
103.09102,21,58.108563
152.645584,31,58.2105
93.53847,19,58.267895
242.676148,49,58.413039
92.617636,19,58.470089
127.191356,26,58.544312
