approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0034173385,0.21442871,22.93,111.16136812999999,-0.07085156440734863,1032,1,24.125835,-0.016910482,2048,7.930352210998535,8192,0.8839768
0.0035013065,0.22290039,22.52,109.16407990000003,-0.012125134468078613,1069,2,24.130043,-0.019999195,4096,15.590386390686035,16384,0.59604317
0.004127709,0.25904542,22.06,107.40652256999999,0.23509281873703003,1060,3,24.120808,-0.022869196,6144,23.318179845809937,24576,0.44233665
0.004428371,0.26986083,24.02,117.78209172000001,0.4108858108520508,1068,4,24.109903,-0.024122324,8192,30.987374305725098,32768,0.3530597
0.004316206,0.26402587,24.55,120.54297486000002,0.5235008895397186,1063,5,24.10487,-0.023395382,10240,38.68908500671387,40960,0.25968713
0.0049622315,0.30550537,26.63,130.98961078,0.5940697193145752,1076,6,24.10323,-0.025712216,12288,46.30254912376404,49152,0.20653585
0.004893878,0.29351807,29.22,143.70083859,0.6354253888130188,1063,7,24.095638,-0.025378693,14336,54.00735950469971,57344,0.18815531
0.0052927323,0.30976564,31.17,153.769644,0.6609801054000854,1058,8,24.087334,-0.026537795,16384,61.749603509902954,65536,0.1797255
0.005457379,0.3210205,31.3,154.11078992999998,0.6976339817047119,1065,9,24.068558,-0.027242929,18432,69.44191694259644,73728,0.14197853
0.00572213,0.33233643,33.44,165.63834134,0.6934569478034973,1075,10,24.052973,-0.028374832,20480,77.05926322937012,81920,0.15514484
0.0058710002,0.33032227,38.08,189.3439591,0.7326277196407318,1064,11,24.030804,-0.028401058,22528,84.75470852851868,90112,0.1386995
0.005850244,0.32752687,38.5,191.32775613999993,0.7767624258995056,1057,12,23.999561,-0.02762793,24576,92.50117778778076,98304,0.11364319
0.006544116,0.35422364,41.22,204.88171694999997,0.7742391377687454,1064,13,23.968224,-0.029013589,26624,100.1963415145874,106496,0.1073544
0.005885071,0.33233643,48.76,243.1906318,0.7833188325166702,1069,14,23.953884,-0.027956516,28672,107.85985684394836,114688,0.11333271
0.006166841,0.34193116,50.78,255.73530333999994,0.7830847352743149,1031,15,23.922573,-0.0282039,30720,115.80540060997009,122880,0.11162096
0.0068027354,0.36385497,50.84,253.87240445,0.8164424300193787,1055,16,23.888111,-0.029562304,32768,123.56819081306458,131072,0.086885676
0.006428349,0.35531005,53.9,270.80284618,0.8504208922386169,1047,17,23.867344,-0.028698001,34816,131.3922245502472,139264,0.07095413
0.0064658066,0.3531128,57.93,294.83141732,0.8583136349916458,1052,18,23.855034,-0.028905714,36864,139.17545413970947,147456,0.068188764
0.006337419,0.34593505,60.85,308.88134895,0.8721203804016113,1050,19,23.845053,-0.027338004,38912,146.97569489479065,155648,0.05811273
0.006378685,0.35131836,59.05,298.21555027,0.8621969223022461,1051,20,23.836414,-0.02799349,40960,154.7635896205902,163840,0.060511243
0.006596408,0.36019287,63.08,317.69999234,0.8854137286543846,1058,21,23.829008,-0.028012779,43008,162.50509881973267,172032,0.049938418
0.00659061,0.35980225,62.94,318.27280978000005,0.8949502855539322,1044,22,23.808842,-0.028304968,45056,170.3462679386139,180224,0.04582533
0.0068974,0.3647217,64.66,329.93041790999996,0.9064051583409309,1043,23,23.79219,-0.027931934,47104,178.19956970214844,188416,0.040930636
0.0070195408,0.36328125,68.86,347.17527152,0.904082253575325,1033,24,23.770176,-0.02777428,49152,186.1292905807495,196608,0.041010298
0.007073112,0.37194824,67.09,340.38480808,0.9140643626451492,1048,25,23.748371,-0.02858591,51200,193.9411816596985,204800,0.035926558
0.00700116,0.37108153,66.49,338.47588627000005,0.9122689366340637,1038,26,23.738613,-0.027928019,53248,201.83013534545898,212992,0.03637132
0.0066893077,0.35668945,69.1,352.97305022,0.927293948829174,1059,27,23.723133,-0.026748613,55296,209.5627167224884,221184,0.030521309
0.0069367937,0.3683838,70.84,365.93409198999996,0.9258843287825584,1053,28,23.700056,-0.028303161,57344,217.33608770370483,229376,0.029772675
0.0070552477,0.37288818,70.71,360.71679449,0.9217903390526772,1062,29,23.689392,-0.027313638,59392,225.04433131217957,237568,0.03145705
0.007311919,0.38103026,70.56,364.38232260999996,0.9313802793622017,1057,30,23.685118,-0.028390918,61440,232.78916811943054,245760,0.02648688
0.0072955387,0.38157958,69.45,358.70601696000006,0.9312614127993584,1028,31,23.67894,-0.027200034,63488,240.75800108909607,253952,0.027118618
0.007648925,0.38957518,75.27,384.15135255,0.941748958081007,1040,32,23.662418,-0.028091142,65536,248.62919974327087,262144,0.022034647
0.0075856172,0.3852051,75.06,379.62674088,0.9361514300107956,1056,33,23.645477,-0.028357778,67584,256.3808012008667,270336,0.02414133
0.007531333,0.38514405,75.36,386.79678177999995,0.9351876378059387,1056,34,23.654575,-0.02753436,69632,264.134557723999,278528,0.024793724
0.0074829995,0.3859375,72.27,372.51269285999996,0.9349430724978447,1045,35,23.639435,-0.0274643,71680,271.96936202049255,286720,0.023777839
0.007332124,0.3768921,76.18,389.47760889000006,0.9383583813905716,1035,36,23.617134,-0.02752057,73728,279.8805344104767,294912,0.022846114
0.007392308,0.38011473,75.32,387.25490864,0.9446114897727966,1051,37,23.58,-0.026287526,75776,287.6682126522064,303104,0.021168794
0.0075291386,0.3841675,73.62,379.40925931,0.929755836725235,1081,38,23.55011,-0.026142448,77824,295.2436547279358,311296,0.027220866
0.00776856,0.39110106,73.34,375.09534989,0.943264614790678,1063,39,23.53723,-0.027733594,79872,302.9474754333496,319488,0.01928034
0.007840824,0.3925415,74.7,384.59079714,0.9500373266637325,1058,40,23.5229,-0.028274596,81920,310.68581342697144,327680,0.016271407
0.007677323,0.38931885,77.81,398.27467047,0.9477508813142776,1053,41,23.52022,-0.027744347,83968,318.46159958839417,335872,0.01753965
0.008167563,0.40805665,77.56,396.67241817,0.948029950261116,1055,42,23.514248,-0.02822952,86016,326.22171783447266,344064,0.017934835
0.008108688,0.3980835,80.06,409.58803566999995,0.9395528361201286,1042,43,23.498789,-0.02686908,88064,334.07814931869507,352256,0.020832526
0.007863713,0.3916382,80.18,410.77876668,0.9458350576460361,1057,44,23.477299,-0.02728166,90112,341.82733702659607,360448,0.018729398
0.008022446,0.3945923,81.34,413.81741379,0.9437437430024147,1053,45,23.445953,-0.026917541,92160,349.60748386383057,368640,0.019625356
0.008267223,0.40374756,75.84,390.34375629000004,0.9396407008171082,1057,46,23.43324,-0.02762207,94208,357.3517143726349,376832,0.020750277
0.008063962,0.3942749,82.38,422.11579270000004,0.9433583132922649,1051,47,23.418217,-0.02800559,96256,365.1456096172333,385024,0.018980814
0.0080316365,0.40408936,82.8,422.2734262,0.9452993758022785,1037,48,23.393757,-0.028172147,98304,373.04279470443726,393216,0.018309094
0.008209912,0.4009033,80.78,413.70819961000007,0.945908959954977,1042,49,23.364159,-0.028525215,100352,380.8996913433075,401408,0.018275257
0.008003826,0.3998169,82.11,420.00467038999994,0.9483373388648033,1062,50,23.339605,-0.028088028,102400,388.61124897003174,409600,0.017680813
0.008383373,0.4057129,82.4,425.14020624999995,0.9405144564807415,1054,51,23.335634,-0.028556576,104448,396.3818669319153,417792,0.02049111
0.008585501,0.4171875,84.07,435.07901524999994,0.9453296102583408,1051,52,23.332483,-0.0279538,106496,404.1728284358978,425984,0.0188589
0.00875317,0.4139038,81.45,422.8308178,0.9394840337336063,1035,53,23.318264,-0.027812025,108544,412.08516693115234,434176,0.021940868
0.008463823,0.4060913,79.35,414.20636411,0.9512163251638412,1051,54,23.311481,-0.027956491,110592,419.87809443473816,442368,0.016186541
0.008408688,0.40671387,85.33,436.94849898999996,0.9513253979384899,1049,55,23.303219,-0.027205333,112640,427.6830515861511,450560,0.0165523
