# {"t_start": 1591861162.7128847, "env_id": "Humanoid-v2"} 
r,l,t
81.653748,17,22.459159
188.939245,38,22.565834
105.304735,21,22.62526
81.613114,17,22.674098
119.041948,24,22.74555
92.472769,19,22.803331
86.324589,18,22.854762
108.773342,22,22.917399
81.307959,17,22.961512
86.751342,18,23.014981
81.34923,17,23.062289
103.391416,21,23.129628
154.99248,30,23.221632
81.21132,17,23.274368
102.27511,21,23.337948
156.721465,32,23.431
92.447125,19,23.490457
141.52091,28,23.575782
125.148574,25,25.379489
128.604369,26,25.458045
81.227967,17,25.506777
226.478414,48,25.650254
112.452172,22,25.722028
103.548102,21,25.787806
109.689718,22,25.850971
121.377386,24,25.914886
173.037291,34,26.010646
174.602591,35,26.112496
93.122687,19,26.172795
159.309276,33,26.269495
76.541791,16,26.314892
141.361131,29,26.399737
188.388229,40,26.514463
76.549204,16,26.560128
76.413078,16,26.604455
121.967071,25,26.67565
110.270185,22,26.736669
114.97241,23,26.798768
166.060556,37,26.906335
86.248671,18,26.957923
86.83046,18,27.014752
92.098016,19,27.067406
136.106018,27,27.143197
96.392992,20,27.207174
89.311699,18,27.25911
196.203706,40,27.375113
150.991132,32,27.466356
81.863929,17,27.514387
76.803047,16,27.562437
170.679412,34,27.659216
91.439226,19,27.718661
119.470061,24,27.784433
85.846748,18,27.839653
198.938452,40,27.951333
76.64029,16,27.993318
81.665404,17,28.04492
81.099604,17,28.09262
87.035577,18,28.140772
171.071815,35,28.243317
107.529448,22,28.310455
81.511829,17,28.362157
139.717172,27,28.440743
81.125768,17,28.495869
76.476867,16,28.543214
102.590948,21,28.607205
236.271654,45,28.743178
81.080445,17,28.79325
81.248026,17,28.849527
140.717399,29,28.935709
135.535081,27,29.012188
109.265791,23,29.084556
138.908062,30,29.171078
179.019215,35,29.279612
171.835679,36,29.373302
119.592543,24,29.438876
82.286158,17,29.485962
174.150038,35,29.58616
88.375259,18,29.638241
81.278692,17,29.685698
100.133453,20,29.740173
152.465899,31,29.826691
81.055548,17,29.875664
161.009897,33,29.973669
81.902401,17,30.017838
119.28557,24,30.086216
81.089075,17,30.131734
150.502853,31,30.212981
107.373277,22,30.276531
184.170727,38,30.387006
86.397906,18,30.440094
86.417883,18,30.492767
81.365728,17,30.559371
127.606441,25,30.627872
81.677916,17,30.678216
166.328174,33,30.775791
81.288251,17,30.827395
97.019159,20,30.884072
80.89421,17,30.93785
76.483736,16,30.985817
124.783126,25,31.064234
81.245854,17,31.112153
86.928245,18,31.164422
150.540325,34,31.267294
158.269301,32,33.051674
172.837797,34,33.153037
93.029113,19,33.20979
194.486585,39,33.323112
150.363384,31,33.416049
141.577543,28,33.495587
132.696317,29,33.576382
180.550881,36,33.678456
81.425591,17,33.726754
92.563061,19,33.783672
137.95612,28,33.860335
101.360347,22,33.920795
176.841809,33,34.015038
105.299821,22,34.078702
76.360187,16,34.122632
114.248671,23,34.187981
118.68358,24,34.252574
93.297947,19,34.308284
176.795719,35,34.412612
92.365206,20,34.468181
257.405919,53,34.625359
216.599322,45,34.753906
119.066455,24,34.823554
98.0253,20,34.882226
119.547243,25,34.952816
86.641197,18,35.00164
76.387663,16,35.04439
171.115962,33,35.13704
90.499165,19,35.190934
81.092996,17,35.238342
81.747422,17,35.288156
114.754809,24,35.358808
137.260833,28,35.443622
146.029162,33,35.540727
97.481881,20,35.602965
142.805387,29,35.687181
76.587971,16,35.736813
83.171444,17,35.78993
119.21681,25,35.863515
87.412642,18,35.916722
