approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,regularization_pi,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.008023659,0.40343016,78.2,399.60460209999997,0.9366806522011757,1036,37,23.497076,-0.026825983,0.04485149,75776,294.4210579395294,303104,0.024293873
0.008593025,0.41429442,75.3,383.80093675999996,0.9375971369445324,1035,38,23.481636,-0.027388746,0.044756465,77824,302.3339328765869,311296,0.02386346
0.0086031165,0.41743165,75.91,389.16276294000005,0.9377229362726212,1030,39,23.47807,-0.02870753,0.04462832,79872,310.2811677455902,319488,0.02362013
0.008453802,0.41605225,77.67,400.96015361999997,0.9373017027974129,1019,40,23.48843,-0.027595088,0.04453065,81920,318.3160824775696,327680,0.024566587
0.008326554,0.41160887,79.77,410.0493043199999,0.9373646900057793,1057,41,23.504843,-0.027225727,0.04443414,83968,326.06484842300415,335872,0.023429908
0.008500762,0.41365966,77.5,401.45045035000004,0.9427816532552242,1014,42,23.50175,-0.027218282,0.044352494,86016,334.1410822868347,344064,0.021333255
0.008728025,0.42110595,78.95,405.85671371999996,0.9419795349240303,1044,43,23.492119,-0.028238937,0.044271402,88064,341.98642587661743,352256,0.021393295
0.00911086,0.42659912,79.55,407.29563550000006,0.9311662837862968,1049,44,23.493374,-0.027777057,0.04420521,90112,349.7920982837677,360448,0.025595313
0.008468078,0.4182251,75.39,389.6969400400001,0.9395969361066818,1049,45,23.482616,-0.02708442,0.044136994,92160,357.5961833000183,368640,0.022047464
0.00914974,0.43148193,78.87,402.3726116000001,0.9411050044000149,1040,46,23.455442,-0.027732953,0.044068318,94208,365.4726860523224,376832,0.02039411
0.009188479,0.42928466,77.53,395.58458453,0.9459172636270523,1052,47,23.43434,-0.028001327,0.043931052,96256,373.25822710990906,385024,0.019819383
0.009110724,0.4239502,78.72,404.7553559400001,0.9454109519720078,1035,48,23.423508,-0.026820198,0.043829903,98304,381.17101097106934,393216,0.01950981
0.009231151,0.4281006,80.42,413.57907354,0.9377448111772537,1032,49,23.41196,-0.02767891,0.043726366,100352,389.10413789749146,401408,0.021276098
0.008873242,0.4184448,81.08,414.81113226,0.9462549202144146,1046,50,23.392399,-0.02697373,0.043651197,102400,396.9336533546448,409600,0.01928607
0.009786013,0.44589844,80.38,404.11259580000007,0.9324813634157181,1052,51,23.367987,-0.02758277,0.043633506,104448,404.7150628566742,417792,0.024524081
0.00891161,0.42130128,84.85,434.2942302000001,0.9422735683619976,1058,52,23.351902,-0.027489686,0.043544706,106496,412.4563570022583,425984,0.02040598
0.009474738,0.43288574,88.56,451.63672669000005,0.95033273473382,1032,53,23.32674,-0.027636182,0.04348467,108544,420.3937523365021,434176,0.017100144
0.009423157,0.42913818,81.44,415.24455061000003,0.9485082067549229,1039,54,23.320124,-0.026045138,0.043477125,110592,428.27264404296875,442368,0.017579803
0.009795249,0.4392212,82.73,419.99137795999997,0.9511356018483639,1031,55,23.316711,-0.027418334,0.043427147,112640,436.21488642692566,450560,0.016715983
0.009651349,0.43774414,85.64,437.42958144000005,0.9488428011536598,1024,56,23.296253,-0.026338417,0.04335506,114688,444.21141266822815,458752,0.017238654
0.009714841,0.4380249,85.2,432.9620049,0.9435137324035168,1027,57,23.282305,-0.027134124,0.043311168,116736,452.1842095851898,466944,0.019806545
0.009516572,0.43920898,86.49,443.38960062,0.9467103481292725,1046,58,23.276167,-0.026503453,0.04326814,118784,460.01449489593506,475136,0.01727097
0.009926388,0.4458496,85.72,436.32121847,0.9532925002276897,1033,59,23.258724,-0.028000157,0.043267105,120832,467.94153666496277,483328,0.015277227
0.010040514,0.44417724,84.42,431.0351608000001,0.9468380063772202,1011,60,23.229998,-0.027309164,0.04325108,122880,476.0425024032593,491520,0.017457398
0.009730314,0.4390381,87.84,448.4165467700001,0.9489623419940472,1044,61,23.214167,-0.027077487,0.0431978,124928,483.88846826553345,499712,0.01742005
0.010338623,0.4508423,85.73,439.2919878999999,0.95182304084301,1042,62,23.202911,-0.027775088,0.04316247,126976,491.74786400794983,507904,0.015633319
0.010159219,0.45059815,85.91,441.38048081,0.9449542202055454,1037,63,23.181183,-0.027842369,0.043131553,129024,499.6421449184418,516096,0.018582769
0.009920474,0.44854736,87.56,444.05629369999997,0.9506693668663502,1021,64,23.171116,-0.026728457,0.043115143,131072,507.66596722602844,524288,0.016090244
0.010010005,0.44541016,88.33,452.07834899999995,0.9441909715533257,1036,65,23.158579,-0.026254797,0.04311582,133120,515.5723595619202,532480,0.0191344
0.009725908,0.44194335,84.53,434.71126338,0.9572801664471626,1045,66,23.137,-0.02699929,0.043061607,135168,523.4110615253448,540672,0.0136949215
0.01028827,0.45290527,88.81,452.3487504600001,0.9538877420127392,1021,67,23.111774,-0.027325436,0.04302844,137216,531.4327828884125,548864,0.015845109
0.010659017,0.45889893,89.9,457.33668931999995,0.9476921781897545,1038,68,23.080486,-0.027840976,0.04299618,139264,539.3207218647003,557056,0.016756576
0.010819083,0.46300048,87.26,445.27296291,0.9468945600092411,1031,69,23.071554,-0.026796455,0.042937424,141312,547.2641830444336,565248,0.017048197
0.010732656,0.45407715,85.67,444.07599607000003,0.9455032236874104,1036,70,23.070292,-0.025622051,0.042940874,143360,555.1677048206329,573440,0.018463228
0.010135444,0.44569093,89.12,455.82671045,0.9514953531324863,1054,71,23.063225,-0.026572997,0.04298174,145408,562.9362144470215,581632,0.016057497
0.010371611,0.4571167,85.23,437.07309542999997,0.9561647847294807,1035,72,23.045574,-0.027016971,0.04299807,147456,570.8449993133545,589824,0.014097521
0.010529988,0.45632324,89.01,456.73578988,0.9528502933681011,1041,73,23.018295,-0.027449142,0.042930044,149504,578.7112991809845,598016,0.015185299
0.010571211,0.45457762,87.63,446.9907942100001,0.9543418735265732,1058,74,23.008675,-0.026725065,0.0428333,151552,586.4522774219513,606208,0.01423285
0.010981335,0.4645874,90.14,463.70718744,0.9481814019382,1045,75,22.997925,-0.02611643,0.04281999,153600,594.2916827201843,614400,0.017357673
0.010691894,0.4618408,89.32,457.69257285,0.954772561788559,1033,76,23.000721,-0.026023578,0.04279178,155648,602.2184174060822,622592,0.014777805
0.010592971,0.45603028,86.07,441.32462845000003,0.9542421922087669,1036,77,22.9935,-0.026790578,0.04278119,157696,610.1216876506805,630784,0.014638821
0.010653796,0.45944825,91.48,466.70254242000004,0.9548500776290894,1046,78,22.982567,-0.027183253,0.04277831,159744,617.9523591995239,638976,0.013867977
0.010938453,0.46437988,90.63,464.59855729000003,0.9563294947147369,1032,79,22.962307,-0.027000314,0.04278455,161792,625.8867492675781,647168,0.014066165
0.0110222045,0.47301024,88.29,452.76269243999997,0.9592992402613163,1023,80,22.953352,-0.0278027,0.042796623,163840,633.8932197093964,655360,0.012996214
0.01149189,0.47644043,94.21,481.05289052,0.9469414874911308,1028,81,22.940851,-0.026997427,0.042778324,165888,641.8564941883087,663552,0.017736612
0.010819821,0.46607667,92.87,480.28155878999996,0.9562670700252056,1034,82,22.928885,-0.025001844,0.042750843,167936,649.7745037078857,671744,0.014535861
0.010871967,0.4621826,92.82,477.15814058,0.9549146145582199,1044,83,22.904663,-0.027425846,0.04273274,169984,657.6162204742432,679936,0.014356688
0.011842078,0.48095703,89.29,455.0434905400001,0.9596072509884834,1033,84,22.888378,-0.02807807,0.042730786,172032,665.5438573360443,688128,0.013043595
0.010957131,0.46574706,92.18,470.84785855000007,0.955736055970192,1042,85,22.87469,-0.025848722,0.042668503,174080,673.4014434814453,696320,0.014595631
0.011396324,0.47197264,93.52,480.68976143,0.9566915184259415,1039,86,22.859339,-0.027509108,0.042679828,176128,681.2820122241974,704512,0.013766138
0.011152193,0.4701416,89.1,463.80327159,0.9590397514402866,1033,87,22.850239,-0.025183458,0.04270311,178176,689.2126338481903,712704,0.012645219
0.011497206,0.47437745,97.61,500.25157673000007,0.9588248655200005,1049,88,22.851223,-0.026619297,0.0427127,180224,697.016345500946,720896,0.013141399
0.01132801,0.47102052,94.16,482.84613574,0.9569745734333992,1034,89,22.854828,-0.026174804,0.04270506,182272,704.9396936893463,729088,0.014174027
0.011832856,0.48109132,94.97,494.6286889499999,0.9575359933078289,1052,90,22.852953,-0.026754454,0.04269214,184320,712.7248947620392,737280,0.013771666
0.01198682,0.48515624,97.41,498.28399740000003,0.9585678242146969,1025,91,22.85275,-0.026593138,0.04268132,186368,720.7102861404419,745472,0.013919237
0.0124758445,0.49226075,90.86,473.0522062700001,0.9567847959697247,1034,92,22.836079,-0.026759598,0.042697933,188416,728.632979631424,753664,0.014745022
0.011840524,0.4810547,96.85,500.31858023999996,0.9559436030685902,1039,93,22.835712,-0.026381517,0.042677563,190464,736.5168714523315,761856,0.014945219
0.012454009,0.4812134,96.92,498.91924395999996,0.9613522663712502,1046,94,22.82507,-0.02719022,0.04271192,192512,744.3452391624451,770048,0.012873938
0.012123136,0.4840088,97.66,503.01235224000004,0.9570033587515354,1027,95,22.81921,-0.027234996,0.042695366,194560,752.3167762756348,778240,0.013803801
0.011766313,0.47667235,96.6,500.34711665000003,0.9595109932124615,1051,96,22.796478,-0.02532599,0.04269048,196608,760.1071631908417,786432,0.013220136
0.012004536,0.4828247,96.39,498.0869577599999,0.9559367150068283,1050,97,22.781254,-0.02601617,0.042750962,198656,767.9037942886353,794624,0.014706855
0.012825748,0.4923218,94.83,490.73244461999997,0.9596664607524872,1050,98,22.775042,-0.027603552,0.042796135,200704,775.7037336826324,802816,0.013042413
0.01315139,0.498938,100.34,516.95913202,0.9559512101113796,1035,99,22.756893,-0.027729189,0.04277797,202752,783.6183280944824,811008,0.014284553
0.012390846,0.48607177,98.23,504.00922040000006,0.9533786289393902,1054,100,22.72699,-0.025506794,0.04278504,204800,791.3861949443817,819200,0.015838906
0.011948754,0.48426515,97.55,506.01606082000006,0.9582204930484295,1038,101,22.69718,-0.025659194,0.04277999,206848,799.2752103805542,827392,0.013625073
0.0121419905,0.48217773,94.05,488.88101890999997,0.961597491055727,1058,102,22.662031,-0.024645466,0.042795103,208896,807.0147047042847,835584,0.0130258845
0.0128532555,0.49191895,96.46,496.05828089999994,0.956333614885807,1028,103,22.639378,-0.025671195,0.042811114,210944,814.977813243866,843776,0.014466544
0.012543166,0.49119872,94.14,481.7059198399999,0.958516288548708,1038,104,22.617662,-0.026253024,0.042808764,212992,822.8696556091309,851968,0.014033969
0.012578326,0.49440917,96.68,497.04652647,0.959953136742115,1032,105,22.587894,-0.025735999,0.042831864,215040,830.8056981563568,860160,0.013033937
0.0123430155,0.48865968,99.14,511.17168798,0.9536029174923897,1036,106,22.583897,-0.026305545,0.04287968,217088,838.7085208892822,868352,0.015850153
0.012343544,0.48806152,98.2,503.59876447999994,0.9534652642905712,1048,107,22.571783,-0.025096241,0.04285877,219136,846.5237035751343,876544,0.016050043
0.013231924,0.50109863,98.37,507.92482287999997,0.9595440626144409,1030,108,22.555843,-0.026621515,0.042860463,221184,854.4739265441895,884736,0.013435264
0.012624284,0.49421388,103.66,540.7850071199999,0.959703017026186,1030,109,22.538668,-0.027085131,0.042848084,223232,862.4250955581665,892928,0.013687531
0.011971625,0.4776245,101.77,524.17354844,0.9554245695471764,1033,110,22.544304,-0.025511002,0.042842515,225280,870.3489944934845,901120,0.01500922
0.012634744,0.49088135,99.86,519.97836337,0.9518605917692184,1037,111,22.523777,-0.0260668,0.042881623,227328,878.2474684715271,909312,0.01662505
0.013043305,0.5046997,98.94,516.65198385,0.9590862393379211,1047,112,22.495699,-0.02708598,0.042910688,229376,886.0714416503906,917504,0.013691278
0.012912695,0.4935669,101.03,524.1890640400001,0.9586160741746426,1048,113,22.467777,-0.025911853,0.04292596,231424,893.8844304084778,925696,0.01379993
