# {"t_start": 1591861068.7135463, "env_id": "Humanoid-v2"} 
r,l,t
76.397801,16,3.501438
105.014244,21,3.558917
93.388984,19,3.608434
137.17917,27,3.680174
81.408627,17,3.727575
110.184854,22,3.790188
96.420295,20,3.846017
132.438802,27,3.921602
81.32627,17,3.966727
139.025938,29,4.047073
86.328833,18,4.093178
76.411485,16,4.137313
95.575524,20,4.190962
76.770794,16,4.23186
82.275634,17,4.277785
114.604831,23,4.336423
82.437401,17,4.382804
86.79765,18,4.436265
76.642925,16,4.48675
85.723649,18,4.545284
99.479453,21,4.608242
160.986343,32,4.697054
114.386462,23,4.75983
110.434434,22,4.826208
159.066397,33,4.92417
86.12245,18,4.970751
120.926926,24,5.04174
82.837583,17,5.090331
94.579357,19,5.1462
132.095453,27,5.21925
140.121051,28,5.292101
81.402239,17,5.334601
92.962283,20,5.386094
127.056381,25,5.450897
96.16421,19,5.499735
131.691692,26,5.570832
76.775034,16,5.617361
76.516295,16,5.664584
87.427293,18,5.718029
106.680393,22,5.780184
155.403967,32,5.870155
199.812615,40,5.990049
234.857387,49,6.126625
71.851068,15,6.168745
118.436031,24,6.240812
76.512824,16,6.284925
86.285203,18,6.3356
87.30825,18,6.388393
145.765683,29,6.474208
81.299195,17,6.524503
87.614375,18,6.582083
148.400411,30,6.677279
127.699161,25,6.748334
81.225217,17,6.797327
96.073928,20,6.859244
144.598888,28,6.94281
88.407905,18,6.998327
87.226641,18,7.045505
81.32802,17,7.096535
102.697623,21,7.156525
116.534516,23,7.221118
76.744741,16,7.26907
81.336692,17,7.316344
81.282634,17,7.362774
131.484108,29,7.446671
81.653488,17,7.493979
152.101608,29,7.579103
87.74102,18,7.639052
94.249892,19,7.700877
81.301822,17,7.757725
146.516897,30,7.845393
119.874585,24,7.913138
93.471181,19,7.96195
140.139885,30,8.044461
76.481047,16,8.087875
86.660817,18,8.135568
109.282551,22,8.197469
184.493911,38,8.298075
87.371121,18,8.347044
113.391656,23,8.4142
120.934414,24,8.48256
140.20371,30,8.571346
103.383383,21,8.634868
155.970439,34,8.743102
101.825509,21,8.809701
168.931791,35,8.918117
76.426916,16,8.969938
81.610535,17,9.018088
119.983485,26,9.093271
81.102638,17,9.145123
86.736466,18,9.196373
153.528054,32,9.285833
81.109644,17,11.164456
137.0581,27,11.245763
87.985553,18,11.299186
103.338023,21,11.360305
86.10346,18,11.416272
145.366836,28,11.493915
92.216925,19,11.550432
81.654886,17,11.602809
105.49809,22,11.669132
127.381162,25,11.735242
86.566987,18,11.784059
81.99025,17,11.825682
111.062801,24,11.900273
102.115217,21,11.962487
93.2126,19,12.013118
111.259209,22,12.073223
92.139299,19,12.126247
92.131167,19,12.182534
76.53993,16,12.226134
87.254503,18,12.27499
87.148348,18,12.325996
122.558703,25,12.393509
114.974767,25,12.459927
159.662364,31,12.548173
137.273402,29,12.626773
118.243261,24,12.694243
135.131541,26,12.770929
76.446978,16,12.819836
76.736812,16,12.863583
125.208181,25,12.935822
116.307629,24,13.003496
86.633612,18,13.05354
122.625168,25,13.122638
87.511791,18,13.174597
113.367099,23,13.240564
130.93214,26,13.315399
81.155271,17,13.36147
88.225829,18,13.411071
76.631251,16,13.454233
134.038631,26,13.532823
107.830067,22,13.603185
109.717906,22,13.66901
87.419711,18,13.723808
93.576728,19,13.777182
124.596822,25,13.852738
81.263721,17,13.903203
104.094803,21,13.96529
81.485591,17,14.015769
81.296538,17,14.065167
76.753153,16,14.112144
161.857976,33,14.220705
76.315971,16,14.270675
111.5489,23,14.335982
