# {"t_start": 1591861068.6876135, "env_id": "Humanoid-v2"} 
r,l,t
92.272982,19,3.323064
96.957204,20,3.376844
82.55638,17,3.419827
168.670686,33,3.509356
86.881888,18,3.559716
103.84442,21,3.6177
82.742034,17,3.666823
81.374708,17,3.713056
108.902121,25,3.781944
114.66646,23,3.844221
111.674196,24,3.908139
81.666624,17,3.955022
86.239113,18,4.002558
88.073291,18,4.049193
178.571508,38,4.148211
93.682141,19,4.201267
81.401251,17,4.251858
97.217146,20,4.31583
81.498245,17,4.369871
124.602464,26,4.445966
81.346061,17,4.492123
76.444539,16,4.534958
129.543878,26,4.612005
81.216708,17,4.660753
81.251525,17,4.713991
81.336239,17,4.760289
124.00463,24,4.826812
155.475865,30,4.915623
81.076336,17,4.963494
129.621036,26,5.03434
124.378134,25,5.098559
81.191422,17,5.141049
85.867205,18,5.187309
166.97922,35,5.276721
91.738184,19,5.326565
91.060403,19,5.379098
208.67699,40,5.49855
76.696135,16,5.544196
81.492007,17,5.591947
86.443865,18,5.643848
160.573426,33,5.739989
102.078311,21,5.801921
93.713946,20,5.858532
81.567228,17,5.906345
91.607809,19,5.957761
158.762472,31,6.049297
93.089832,19,6.102864
131.206546,27,6.178476
106.303428,22,6.248991
86.775642,18,6.29831
96.306712,20,6.360066
115.188284,25,6.440106
123.285193,25,6.515269
97.41402,20,6.572876
81.229752,17,6.620931
124.552972,25,6.697642
113.038847,23,6.767543
148.781309,32,6.857004
144.855953,29,6.944172
100.89765,20,7.001255
138.623472,28,7.080453
179.918736,35,7.178209
86.514454,18,7.231015
144.391591,29,7.311228
86.603633,18,7.35795
86.272697,18,7.422405
152.946034,34,7.535249
143.463534,31,7.627423
81.234004,17,7.676552
86.179981,18,7.72769
81.335353,17,7.770402
155.537637,30,7.852643
87.201181,18,7.903251
85.735959,18,7.950506
146.023338,29,8.031634
81.659566,17,8.07641
101.793236,20,8.128986
117.226485,25,8.201119
76.277273,16,8.246437
126.065687,25,8.319328
87.240637,18,8.370937
113.865129,23,8.440975
97.695913,20,8.503131
183.601778,36,8.617785
173.640462,37,8.733798
127.402601,25,8.809608
81.388724,17,8.857922
83.060391,17,8.908824
128.076452,26,8.986558
148.279389,31,9.068971
81.549802,17,9.122908
175.86961,36,11.057248
134.67401,27,11.139251
87.184993,18,11.193366
129.478858,26,11.266288
81.391831,17,11.315773
92.220259,19,11.371596
76.647176,16,11.422222
144.571883,28,11.5035
87.443738,18,11.55036
123.189975,25,11.614157
98.517541,20,11.668961
134.543411,28,11.754068
76.717589,16,11.800782
113.389328,23,11.862281
81.40438,17,11.910591
90.460987,20,11.967349
92.441708,19,12.021722
108.227209,22,12.081274
82.077849,17,12.129264
86.974239,18,12.176695
118.063969,24,12.241838
113.107892,23,12.305612
81.57957,17,12.352813
154.923008,33,12.444632
88.496668,18,12.493348
98.365425,20,12.552858
81.273666,17,12.603717
137.415324,28,12.68489
85.997854,18,12.734527
96.401706,20,12.793078
100.454869,21,12.851073
134.545012,28,12.92906
87.571945,18,12.979545
90.793918,19,13.034177
111.991253,22,13.097279
170.253358,34,13.193124
100.651015,21,13.250032
88.33208,18,13.301188
76.398604,16,13.355031
138.640252,28,13.439078
108.017453,22,13.50714
122.594579,25,13.578044
190.640332,43,13.704489
178.397833,37,13.814826
120.319151,24,13.887377
91.965822,19,13.941768
76.202434,16,13.992502
152.168762,31,14.095431
85.803215,18,14.14435
137.571919,27,14.238852
86.362398,18,14.298022
117.03355,24,14.374089
92.534681,19,14.433396
86.009121,18,14.497606
76.457299,16,14.550148
113.46718,25,14.625422
76.700868,16,14.680047
93.048647,19,14.7344
91.529572,19,14.790458
114.068133,23,14.862894
81.534862,17,14.911474
112.217499,23,14.981609
88.205768,19,15.038556
141.044559,28,15.129388
82.023399,17,15.18184
135.111902,28,15.270407
144.346365,30,15.361343
81.22189,17,15.413182
89.689858,18,15.47203
100.119629,20,15.525141
137.581609,27,15.601773
139.857737,28,15.679239
94.708633,19,15.733265
81.525993,17,15.782658
93.153917,19,15.841251
89.004777,19,15.898085
113.178666,23,15.95943
225.853928,42,16.079342
160.082526,34,16.170892
191.529482,38,16.28486
98.52346,20,16.341332
176.493941,35,16.444812
85.978421,18,16.504333
182.34795,37,16.607949
81.278662,17,16.660024
108.066948,23,16.726456
92.376129,19,16.779205
113.378241,23,16.84704
119.968117,24,16.915193
121.512366,24,18.729498
115.362153,24,18.796414
177.371102,35,18.89847
76.355283,16,18.946713
172.656914,36,19.047452
105.010376,21,19.106297
152.629769,30,19.194995
112.858602,23,19.268779
76.434214,16,19.31803
98.887301,20,19.378486
76.541738,16,19.423954
92.545253,19,19.476459
181.373767,35,19.573406
97.432428,20,19.627883
86.878009,18,19.680099
133.159209,26,19.750893
132.577576,27,19.82336
71.86308,15,19.864228
