approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0041135377,0.25644532,22.93,111.16136812999999,-0.07085156440734863,1025,1,24.129353,-0.02028121,2048,7.990435361862183,8192,0.88410884
0.004174682,0.26329345,22.37,108.79368257000002,0.04814952611923218,1050,2,24.149885,-0.024642907,4096,15.79021692276001,16384,0.5869306
0.004569305,0.28272706,22.99,112.29149663,0.21248847246170044,1053,3,24.152758,-0.026943931,6144,23.56630849838257,24576,0.46790838
0.0051739872,0.3100586,24.65,120.85660513999997,0.39286285638809204,1046,4,24.161924,-0.029492835,8192,31.398798942565918,32768,0.37003422
0.0052681565,0.3161133,23.54,115.24128912000002,0.5294266939163208,1055,5,24.161192,-0.029396594,10240,39.16177773475647,40960,0.2421777
0.00545238,0.32264405,27.53,135.45996845,0.593583732843399,1066,6,24.167057,-0.030032327,12288,46.841548919677734,49152,0.21170422
0.0058542597,0.33950195,28.65,140.52113396000001,0.6342110335826874,1063,7,24.151167,-0.032595307,14336,54.5460090637207,57344,0.19402337
0.0059190216,0.34708253,30.6,150.80054671,0.663203090429306,1050,8,24.138283,-0.032426395,16384,62.347769260406494,65536,0.18243831
0.006317989,0.35526124,31.93,157.93633699,0.6975892782211304,1107,9,24.125374,-0.03331151,18432,69.74445056915283,73728,0.14852415
0.006394206,0.3605713,34.79,172.77472136,0.7176104485988617,1097,10,24.112394,-0.032785926,20480,77.21189451217651,81920,0.15017849
0.0065715215,0.36489257,35.22,174.74394963999998,0.7266386449337006,1066,11,24.092884,-0.0340914,22528,84.89524984359741,90112,0.13873288
0.006928659,0.3722412,38.47,192.54134022,0.7436847388744354,1042,12,24.06786,-0.033605356,24576,92.75437426567078,98304,0.12969708
0.007363051,0.38935548,37.18,183.43112996,0.768178179860115,1086,13,24.055033,-0.03455271,26624,100.2929379940033,106496,0.108833335
0.007244798,0.3875122,41.98,210.1170384099999,0.7865526676177979,1097,14,24.045607,-0.034867894,28672,107.75889992713928,114688,0.10656132
0.0074157054,0.39613038,44.8,223.15087011,0.8022568225860596,1073,15,24.01434,-0.035114788,30720,115.3915548324585,122880,0.09684305
0.0071736327,0.39068604,47.84,238.27631591000002,0.8164994418621063,1098,16,23.984055,-0.035030425,32768,122.84732174873352,131072,0.09197681
0.0072466256,0.39194337,51.05,255.87306191,0.8330958485603333,1067,17,23.979454,-0.034827795,34816,130.52066373825073,139264,0.079968356
0.0076291026,0.39836425,52.92,266.38962673,0.8356016278266907,1091,18,23.959728,-0.035419278,36864,138.02739357948303,147456,0.07968079
0.0073621734,0.39718017,51.81,261.13862763000003,0.8527498096227646,1082,19,23.933933,-0.03468665,38912,145.59293866157532,155648,0.0671758
0.0076835947,0.40447998,55.95,277.86744172999994,0.8748364150524139,1099,20,23.928955,-0.035077997,40960,153.04579210281372,163840,0.05482801
0.007877102,0.40789795,59.81,302.16335157000003,0.8769799992442131,1098,21,23.913195,-0.03473673,43008,160.50538539886475,172032,0.05749501
0.0077922726,0.4076416,60.92,304.63828204,0.8760448917746544,1103,22,23.883005,-0.03503954,45056,167.931782245636,180224,0.05597707
0.008088689,0.41068116,64.68,326.8609531900001,0.9021655693650246,1103,23,23.856157,-0.035849378,47104,175.35297060012817,188416,0.04402143
0.0080507565,0.41030273,64.31,325.69123250000007,0.8943174332380295,1090,24,23.845053,-0.034000657,49152,182.86791682243347,196608,0.047419235
0.0081484765,0.41755372,67.67,344.23839866,0.9073739647865295,1078,25,23.829353,-0.036529638,51200,190.46317291259766,204800,0.040740043
0.008260274,0.41062012,67.78,342.47666935999996,0.9060090780258179,1096,26,23.816463,-0.035509672,53248,197.934636592865,212992,0.04238532
0.00797643,0.40843505,68.48,351.8607281900001,0.920142725110054,1082,27,23.792923,-0.035501506,55296,205.50076150894165,221184,0.034576327
0.00777216,0.40670165,67.76,346.59772209999994,0.9180564135313034,1042,28,23.776825,-0.03511479,57344,213.35996413230896,229376,0.035589527
0.008118609,0.4147583,66.62,343.30999826000004,0.9208117946982384,1037,29,23.763876,-0.03546241,59392,221.25688767433167,237568,0.03325772
