# {"t_start": 1591841163.6889505, "env_id": "Humanoid-v2"} 
r,l,t
81.293324,17,4.543137
81.612447,17,4.653173
81.555115,17,4.767977
81.547214,17,4.895436
124.080258,24,5.026911
93.035117,19,5.196136
101.84695,21,5.326567
76.797411,16,5.399642
76.499783,16,5.52057
128.286255,25,5.71048
119.276506,24,5.918571
109.893753,22,6.102665
81.301027,17,6.236023
108.671509,22,6.444926
92.840698,19,6.542262
81.353284,17,6.707267
89.916815,18,6.840925
91.509921,19,6.959776
76.732538,16,7.075997
163.36961,34,7.302164
81.380682,17,7.403803
146.644693,29,7.574153
91.892115,19,7.691755
145.158184,30,7.881316
76.341948,16,7.979705
87.313647,18,8.103507
148.350296,30,8.302077
119.148467,25,8.499483
119.612115,24,8.671111
130.564746,26,8.825487
112.369469,23,8.927279
92.905587,19,9.042071
110.276682,23,9.208564
81.3804,17,9.312559
81.365072,17,9.42352
137.467607,28,9.613398
76.754733,16,9.726823
136.81618,27,9.900028
164.826256,33,10.104898
93.302409,19,10.222091
76.402992,16,10.332882
86.923475,18,10.463974
115.873793,24,10.631509
142.176767,28,10.787479
129.413606,26,10.962835
181.482097,37,11.197115
128.974356,27,11.342908
153.053011,32,11.539766
76.56281,16,11.65363
81.273466,17,11.762352
76.461184,16,11.854596
121.183664,24,11.99885
128.445617,25,12.157145
138.350432,28,12.332337
145.523788,28,12.515949
81.293707,17,12.681631
76.379432,16,12.792278
76.83134,16,12.879597
87.520845,18,12.987977
87.69097,18,13.102412
83.09465,17,13.226717
153.189284,30,13.490206
98.839673,20,13.654011
87.809452,18,13.789889
144.011936,28,14.069003
156.952098,34,14.312667
81.178071,17,14.433475
81.627728,17,14.583481
72.090107,15,14.692115
167.530524,32,14.912861
98.838223,20,15.052636
76.505133,16,15.14781
86.311487,18,15.295948
92.408886,19,15.435353
138.604943,27,15.657843
163.438439,36,15.982978
133.900257,26,16.152477
81.887715,17,16.28257
162.911613,34,16.559249
76.312897,16,16.702686
98.839934,20,16.934617
81.620316,17,17.049922
110.152342,22,17.286655
80.907969,17,17.438972
91.341196,19,17.572362
127.284179,26,17.773566
88.560726,18,17.891073
81.174725,17,18.072303
119.517455,24,18.245973
155.298161,30,18.441585
76.555169,16,18.557608
120.109368,26,18.730458
94.314723,20,18.86095
148.804864,30,23.071289
88.049439,18,23.183734
97.679111,20,23.339056
113.173215,26,23.504319
160.158644,32,23.70769
76.652272,16,23.810748
81.419572,17,23.9156
98.404996,20,24.041196
109.171713,22,24.178679
151.611192,30,24.411884
160.616592,32,24.775949
81.35214,17,24.936256
84.6921,18,25.071557
86.05172,18,25.199727
96.744427,20,25.335646
130.654449,27,25.55695
143.090054,28,25.730981
149.074375,29,25.955249
169.05053,33,26.166021
140.060515,27,26.425588
186.748722,37,26.826826
81.467474,17,27.006044
164.616108,33,27.274235
86.353774,18,27.383498
112.585072,23,27.525649
93.644047,19,27.669906
96.104349,20,27.798192
129.710223,26,28.014453
128.664081,26,28.218406
86.139684,18,28.334639
86.306774,18,28.466375
126.714235,25,28.63857
109.581298,22,28.832661
97.669526,22,28.977327
165.954302,35,29.223927
141.520211,28,29.455729
81.55784,17,29.555361
204.909488,41,29.834524
136.599067,28,30.108197
140.262773,30,30.304656
158.62441,33,30.536989
81.32765,17,30.646089
81.119437,17,30.747227
114.395484,25,30.945989
81.193542,17,31.058614
90.453985,19,31.196948
140.237222,29,31.514912
102.213291,21,31.686728
116.643619,23,31.958232
104.600737,21,32.119427
76.433429,16,32.224034
76.47562,16,32.328437
135.207075,28,32.520587
128.255545,26,32.75537
94.483243,20,32.892798
93.777508,19,33.015658
122.562705,26,33.185795
176.455181,37,33.568875
166.647137,33,33.792075
81.191696,17,33.91114
136.107146,28,34.098634
177.280553,37,34.484528
76.538202,16,34.644945
87.200437,18,34.74648
108.486791,23,34.891333
92.698243,19,35.00933
81.350023,17,35.117082
81.881471,17,35.303239
108.969383,22,35.465282
81.430894,17,35.573285
81.158952,17,35.68362
231.61017,48,36.117524
176.320838,36,36.399916
122.815131,27,36.620108
101.847273,21,36.786478
134.693842,28,37.047495
86.336938,18,37.201232
90.883737,19,37.345825
248.572722,48,37.837924
146.828494,31,38.11401
