approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00410103,0.25563964,22.93,111.16136812999999,-0.07085156440734863,440,1,24.127468,-0.020257344,2048,18.601792335510254,8192,0.88409406
0.004134548,0.26114503,22.11,107.95879661999999,0.02079176902770996,410,2,24.130568,-0.024943504,4096,38.556294202804565,16384,0.59832704
0.0044320584,0.27874756,22.53,110.075536,0.2080216407775879,398,3,24.136974,-0.026778484,6144,59.13019824028015,24576,0.4543519
0.005081392,0.3090454,24.11,117.80348599999999,0.40572673082351685,446,4,24.13271,-0.029506441,8192,77.48884916305542,32768,0.34983352
0.005258846,0.31391603,24.06,118.7175398,0.5258137881755829,431,5,24.138147,-0.029867213,10240,96.46798610687256,40960,0.25565535
0.0055693127,0.3296631,26.71,131.15692514999998,0.5684690475463867,424,6,24.140009,-0.03075767,12288,115.76318860054016,49152,0.22383562
0.0060001723,0.34433594,29.36,144.36520776999998,0.6363966763019562,412,7,24.127094,-0.03178475,14336,135.60401701927185,57344,0.1950918
0.005840316,0.34002686,30.62,150.65864836999998,0.6772314012050629,366,8,24.121344,-0.032596894,16384,157.95611119270325,65536,0.16708454
0.00626264,0.35412598,30.07,148.08687891999998,0.714388906955719,444,9,24.107065,-0.03254106,18432,176.3940556049347,73728,0.13267872
0.006593214,0.37147218,34.92,172.67477214,0.7064388692378998,396,10,24.099277,-0.033990737,20480,197.04831075668335,81920,0.15149349
0.006700433,0.37401122,36.07,178.8544588,0.7535457909107208,434,11,24.084105,-0.033853844,22528,215.8818166255951,90112,0.1257204
0.007285212,0.39481202,38.98,194.28038264,0.7697021961212158,421,12,24.042315,-0.03512783,24576,235.32672095298767,98304,0.121275544
0.0074058115,0.39069825,38.51,192.00973783999999,0.7645655125379562,408,13,24.014172,-0.03506217,26624,255.37598299980164,106496,0.11704756
0.0068618814,0.37912598,44.76,225.74326955,0.786706954240799,421,14,23.994673,-0.034201033,28672,274.8047845363617,114688,0.11498161
0.0072173527,0.38989258,45.93,229.68551538,0.8084768801927567,376,15,23.96234,-0.034570295,30720,296.5365295410156,122880,0.093953356
