# {"t_start": 1591841163.6566856, "env_id": "Humanoid-v2"} 
r,l,t
110.161132,24,60.838757
133.454963,29,64.885398
108.785576,22,65.035439
76.741114,16,65.143498
86.410168,18,65.268543
93.663753,19,65.403613
173.91096,35,65.634261
88.577033,18,65.749902
102.329582,21,65.887921
108.799813,22,66.029962
76.748766,16,66.164332
180.410694,35,66.44464
104.685296,21,66.591294
113.272235,23,66.761477
161.553416,34,67.00177
86.637116,18,67.147352
80.999063,17,67.292032
87.826272,18,67.430657
257.680485,49,67.859905
101.912175,21,68.077668
116.988869,23,68.249993
154.255891,32,68.477038
82.266354,17,68.616384
125.530784,25,68.823586
148.484319,31,69.045621
124.018438,25,69.220474
126.963052,26,69.43584
196.323983,43,69.720459
89.116356,19,69.854838
137.096431,30,70.104377
91.92385,19,70.24892
85.581986,18,70.388169
86.259645,18,70.528538
86.063376,18,70.646071
163.759472,33,70.876688
175.241936,36,71.128983
87.222111,18,71.240004
100.290276,20,71.367918
81.605576,17,71.484719
147.141621,30,71.739355
117.537759,24,72.037986
81.24501,17,72.158773
81.462703,17,72.265957
125.169372,25,72.404675
182.24189,38,72.673343
145.021725,28,72.805417
88.645311,18,72.889693
156.599094,31,73.07205
130.272031,27,73.213166
130.786513,27,73.358185
104.694481,22,73.475594
81.291825,17,73.560404
92.197372,19,73.666143
160.179945,35,73.873409
148.503663,30,74.088565
81.343447,17,74.271769
81.253884,17,74.458972
108.838056,23,74.670243
87.58972,18,74.8249
105.522661,21,74.937046
93.139515,19,75.056015
120.503073,24,75.207978
142.34734,28,75.392041
119.348461,24,75.56661
93.349183,19,75.681474
81.335877,17,75.82419
87.626582,18,75.965245
116.996057,25,76.172871
118.721645,25,76.329464
94.344669,19,76.479425
97.712998,20,76.646158
90.712593,19,76.803335
100.857231,21,76.958548
172.210163,35,77.234916
76.608904,16,77.364503
195.239636,39,77.639056
92.500587,19,77.813685
81.158992,17,77.967166
131.982699,27,78.182578
116.15337,24,78.354713
259.141558,55,78.734494
121.999689,24,78.899467
115.769246,23,79.054143
155.257937,31,79.26453
97.076931,20,79.405467
105.379767,21,83.0494
144.836112,29,83.222172
86.094509,18,83.355936
76.615817,16,83.510944
146.575772,30,83.794382
76.471154,16,83.95172
81.302546,17,84.077182
146.382869,29,84.303445
109.501008,22,84.466651
88.20475,18,84.624506
128.779077,26,84.824234
163.369274,33,85.077463
165.819333,33,85.319017
115.198251,23,85.505833
87.272365,18,85.621862
184.617477,37,85.871622
168.641983,33,86.113411
93.384041,19,86.257973
92.378211,19,86.415557
151.275335,30,86.815692
108.1089,22,87.104617
81.473594,17,87.248661
86.442414,18,87.401223
82.304201,17,87.545362
115.934109,23,87.722915
99.655718,20,87.894318
86.845604,18,88.037553
158.967478,33,88.378175
126.473677,25,88.613641
100.444696,21,88.823643
121.218218,26,89.032301
105.562878,22,89.225662
87.261479,18,89.392715
154.498432,31,89.644028
158.948204,31,89.924317
154.464213,30,90.207733
115.739524,24,90.44873
95.250015,19,90.607283
127.282257,25,90.824134
113.003415,25,91.032148
116.50097,24,91.212143
138.649139,29,91.429164
81.674609,17,91.557561
81.08047,17,91.686201
87.007723,18,91.806592
141.252786,30,91.98834
158.697874,32,92.20891
82.039231,17,92.336785
161.312873,34,92.635226
87.98652,18,92.845464
174.453273,36,93.123497
94.765347,20,93.284653
192.686968,39,93.608032
109.634411,23,93.782007
86.441073,18,93.932564
152.327645,29,94.172617
76.792487,16,94.295997
174.125029,35,94.519192
91.589429,19,94.672055
76.364054,16,94.803318
130.031861,26,94.980462
124.902044,27,95.251649
168.438147,34,95.54006
140.42197,28,95.776834
176.634593,35,96.013921
93.615065,19,96.141039
183.492486,39,96.370397
76.662817,16,96.466766
182.199733,37,96.693115
77.228511,16,96.789418
123.967141,25,96.944814
100.146949,21,97.054174
81.468488,17,97.172336
97.253066,20,97.320907
76.337285,16,97.426506
98.849787,20,97.586845
117.510739,23,97.752072
111.510233,23,97.929265
81.377037,17,98.044835
152.963684,30,98.249568
94.389534,19,98.371608
81.29104,17,98.55874
86.691654,18,98.803649
122.918913,25,98.978515
92.963855,19,99.109943
192.851316,38,99.347725
97.7792,20,102.093067
86.171006,18,102.21308
168.817509,34,102.419497
94.815827,19,102.537128
81.320704,17,102.642392
87.549909,18,102.744638
87.245989,18,102.846522
81.526285,17,102.961796
86.437952,18,103.089828
185.296816,37,103.345592
136.629508,27,103.544265
108.499208,22,103.752921
119.877198,24,103.94162
115.18832,23,104.122156
195.397415,41,104.434943
87.695758,18,104.572005
148.739845,29,104.796473
158.091378,31,105.073112
125.113239,25,105.268394
121.066581,24,105.430904
86.791726,18,105.549337
93.175981,19,105.6987
166.885463,34,105.976884
151.570813,32,106.193351
109.313414,22,106.347067
116.843774,26,106.530431
121.570913,24,106.706991
87.060294,18,106.842221
86.157991,18,106.97337
96.731715,21,107.143279
92.754541,19,107.325499
131.464351,28,107.527859
159.874399,33,107.82755
121.456854,24,108.055402
149.920674,30,108.259946
135.951815,30,108.49398
142.041711,30,108.730132
173.543979,36,108.980886
158.821911,31,109.218654
169.494517,34,109.446042
114.703317,23,109.584203
138.41204,28,109.750601
86.134517,18,109.856907
76.385742,16,110.013019
86.769855,18,110.15371
81.343095,17,110.295221
152.519515,30,110.558929
98.132367,20,110.705717
81.250095,17,110.825104
92.588029,19,110.944638
87.623489,18,111.105826
81.380936,17,111.297599
215.643151,43,111.648643
76.473969,16,111.753366
81.513524,17,111.845355
105.24129,21,111.966279
125.466351,25,112.114396
86.962167,18,112.228593
86.196721,18,112.337627
86.83559,18,112.439987
93.294266,19,112.573462
172.576955,34,112.841796
76.373344,16,112.961864
104.074276,21,113.118291
92.690387,19,113.247584
99.071378,20,113.385101
94.716882,19,113.500367
93.813029,19,113.613051
154.813395,30,113.823909
132.653414,26,114.003445
143.877246,30,114.248467
167.953055,34,114.643776
134.796526,27,114.824521
119.354501,25,115.059554
139.45296,28,115.243645
148.085219,29,115.432572
119.462304,24,115.654843
91.018039,19,115.797926
204.418539,43,116.08558
123.634724,27,116.257986
128.774553,26,116.43354
246.44658,48,116.847871
81.959984,17,117.018152
148.380303,31,121.331534
99.80936,21,121.526229
176.635351,36,121.769247
81.314017,17,121.912633
144.176867,30,122.118261
81.125423,17,122.21596
104.173352,22,122.410835
136.108633,28,122.771026
222.170259,43,123.104086
171.505976,35,123.331913
127.800756,28,123.51052
81.578631,17,123.653568
205.745452,41,124.029666
145.058572,29,124.308844
150.104064,29,124.543223
142.606911,31,124.785244
103.194574,21,124.935613
262.026436,53,125.344327
159.488655,31,125.562764
178.030431,38,125.857023
87.272559,18,126.012394
76.67851,16,126.148378
155.375952,30,126.413741
81.468268,17,126.509102
121.314196,27,126.71538
108.668155,22,126.846275
247.389731,49,127.145255
132.3017,26,127.307913
193.639247,37,127.574478
143.049375,30,127.830118
141.407771,29,128.060214
238.131753,46,128.419307
234.770394,47,128.834735
124.769713,25,129.035902
98.561432,20,129.205903
109.357204,22,129.388369
126.610304,25,129.656173
92.262046,19,129.839758
235.889185,46,130.260856
125.398002,25,130.449421
158.318065,34,130.80458
175.909682,35,131.121719
95.581348,20,131.262536
87.61087,18,131.36977
81.650503,17,131.473733
81.089008,17,131.590441
152.127032,32,131.804577
190.620264,42,132.173871
278.972211,51,132.536425
166.859631,35,132.817865
114.402988,23,132.969489
171.870634,34,133.252834
130.76477,28,133.496666
111.36558,22,133.6454
92.656344,19,133.777332
120.141436,27,134.023228
88.850918,18,134.185751
175.424233,35,134.448746
162.036164,33,134.683914
160.30733,32,134.94336
159.699351,31,135.148869
162.081268,34,135.423671
81.462291,17,135.582253
238.59749,47,136.063952
82.132583,17,136.206543
