# {"t_start": 1591841163.7437487, "env_id": "Humanoid-v2"} 
r,l,t
76.397801,16,6.185132
105.014244,21,6.324769
93.388984,19,6.456727
137.17917,27,6.616971
81.408627,17,6.729317
110.184854,22,6.919615
96.420295,20,7.013922
132.438802,27,7.20348
81.32627,17,7.326767
139.025938,29,7.603339
86.328833,18,7.738233
76.411485,16,7.854658
95.575524,20,8.056304
76.770794,16,8.139671
82.275634,17,8.286406
114.604831,23,8.459441
82.437401,17,8.579922
86.79765,18,8.705307
76.642925,16,8.819089
85.723649,18,8.931422
99.479453,21,9.057938
160.986343,32,9.247113
114.386462,23,9.387509
110.434434,22,9.529717
159.066397,33,9.743851
86.12245,18,9.866443
120.926926,24,10.039382
82.837583,17,10.177928
94.579357,19,10.300502
132.095453,27,10.467835
140.121051,28,10.603589
81.402239,17,10.713129
92.962283,20,10.850078
127.056381,25,11.005185
96.16421,19,11.139105
131.691692,26,11.307494
76.775034,16,11.423865
76.516295,16,11.524313
87.427293,18,11.63477
106.680393,22,11.77271
155.403967,32,11.982539
199.812615,40,12.266349
234.857387,49,12.561408
71.851068,15,12.660786
118.436031,24,12.820673
76.512824,16,12.901373
86.285203,18,12.995209
87.30825,18,13.101013
145.765683,29,13.309253
81.299195,17,13.417606
87.614375,18,13.521524
148.400411,30,13.706146
127.699161,25,13.859437
81.225217,17,13.968139
96.073928,20,14.10251
144.598888,28,14.339082
88.407905,18,14.453848
87.226641,18,14.555643
81.32802,17,14.662007
102.697623,21,14.797771
116.534516,23,14.986462
76.744741,16,15.130976
81.336692,17,15.271528
81.282634,17,15.400084
131.484108,29,15.68862
81.653488,17,15.80169
152.101608,29,16.013114
87.74102,18,16.161749
94.249892,19,16.313499
81.301822,17,16.429492
146.516897,30,16.640414
119.874585,24,16.789288
93.471181,19,16.940887
140.139885,30,17.180135
76.481047,16,17.306004
86.660817,18,17.47152
109.282551,22,17.652278
184.493911,38,17.919285
87.371121,18,18.060995
113.391656,23,18.251423
120.934414,24,18.516483
140.20371,30,18.782015
103.383383,21,18.972634
155.970439,34,19.257966
101.825509,21,19.414747
168.931791,35,19.704881
76.426916,16,19.823002
81.610535,17,19.948981
119.983485,26,20.129982
81.102638,17,20.236312
86.736466,18,20.361458
153.528054,32,20.553234
81.108464,17,24.691514
142.369843,28,24.882108
82.335781,17,25.00846
103.384628,21,25.139195
86.148962,18,25.254385
145.226629,28,25.432195
92.159993,19,25.550598
81.655197,17,25.655776
105.618632,22,25.793862
127.377693,25,25.981558
86.570724,18,26.120095
82.442064,17,26.367159
111.153158,24,26.588343
102.151841,21,26.740444
93.046236,19,26.875383
111.292898,22,27.02546
92.143515,19,27.181555
92.154268,19,27.308623
81.321919,17,27.413449
92.154696,19,27.578494
107.774472,22,27.718208
91.37544,19,27.839511
132.082996,30,28.159695
105.389398,21,28.387673
153.28309,33,28.716309
98.995872,20,28.878734
157.520136,31,29.074975
76.448876,16,29.175514
76.734088,16,29.297606
125.190404,25,29.460561
116.370756,24,29.663936
86.646992,18,29.805161
122.619137,25,29.976023
87.52617,18,30.106863
113.416355,23,30.263149
130.848489,26,30.487064
81.157778,17,30.599178
93.505764,19,30.721782
76.563415,16,30.841986
111.483356,22,31.027998
93.100881,19,31.1632
81.425586,17,31.258032
111.743292,22,31.392076
94.206428,19,31.564854
86.449405,18,31.749194
92.536179,19,31.883646
173.86623,35,32.111272
81.451495,17,32.232424
76.496111,16,32.336198
76.740114,16,32.431662
200.330161,41,32.737826
81.114965,17,32.866384
81.530461,17,33.063846
143.974965,30,33.32534
89.173544,19,33.539754
76.441136,16,33.701782
76.242879,16,33.807382
93.34318,19,33.932282
103.126326,21,34.073112
92.685737,19,34.244323
203.126298,41,34.54247
194.450672,41,34.806131
81.300637,17,35.009699
91.85226,19,35.175242
81.516639,17,35.308828
86.438373,18,35.420126
106.260034,21,35.567714
81.486735,17,35.669934
180.684807,37,35.99643
76.531122,16,36.204548
76.640527,16,36.323382
167.026486,33,36.525236
94.36672,19,36.645957
76.916342,16,36.742841
81.707126,17,36.918981
113.21004,23,37.098955
81.39141,17,37.206505
166.536808,32,37.417331
76.801212,16,37.581941
87.34887,18,37.758546
81.405181,17,37.907834
99.670453,20,38.049536
150.477556,29,38.286748
118.756101,24,38.487032
88.396367,18,38.6489
92.063954,19,38.821514
93.747936,19,38.965386
105.320279,21,39.124842
122.524361,27,39.443899
136.048071,27,39.700499
150.566662,31,40.012705
76.625209,16,40.130634
76.571,16,40.261975
76.38145,16,40.365125
76.725894,16,40.50541
76.763845,16,40.646171
82.173195,17,44.636599
99.791554,20,44.772897
122.919821,24,44.984556
76.351363,16,45.197668
81.363118,17,45.365386
92.109796,19,45.507277
104.829143,21,45.704932
76.642638,16,45.833076
150.249726,31,46.208334
76.792809,16,46.396399
90.952292,19,46.590937
97.895145,20,46.7686
86.005869,18,46.951601
129.419332,27,47.157313
81.784984,17,47.363942
85.929155,18,47.537433
165.90908,34,47.814322
97.281098,20,48.010947
100.676627,20,48.236815
161.523265,31,48.493471
81.107003,17,48.663698
83.26083,17,48.822736
86.560955,18,48.966713
99.004455,20,49.101782
116.317266,23,49.365647
110.010936,23,49.526902
131.578591,27,49.736634
98.429262,20,49.909237
86.777076,18,50.105743
86.109497,18,50.325989
76.580721,16,50.453148
97.650454,20,50.58574
81.25362,17,50.705593
81.720333,17,50.821426
150.115913,31,51.071934
86.687728,18,51.227232
97.314662,20,51.388144
104.076229,23,51.553603
81.50886,17,51.667452
87.505443,18,51.797216
123.03117,26,52.025136
76.41259,16,52.127345
143.901542,31,52.323587
135.572522,27,52.520724
103.809927,21,52.676481
81.690392,17,52.847244
173.918039,36,53.15313
143.614666,29,53.379355
93.023722,19,53.528044
86.901627,18,53.646519
104.907343,21,53.817763
118.892848,24,53.990628
114.369594,24,54.159972
113.210792,24,54.32775
81.111693,17,54.445573
81.552495,17,54.577918
94.291613,19,54.700341
108.528564,22,54.833111
175.893538,33,55.092157
82.653926,17,55.206482
80.974443,17,55.322273
94.355967,20,55.459097
180.662473,35,55.717179
76.566217,16,55.859989
128.335166,26,56.091701
117.441196,24,56.302681
89.763129,18,56.466865
122.432538,24,56.675428
161.623741,34,56.971706
130.68478,26,57.165496
152.851807,30,57.341016
107.15263,22,57.5019
81.242445,17,57.610173
142.862809,28,57.883462
158.70052,36,58.130996
81.667879,17,58.262528
189.51886,38,58.530326
99.085503,20,58.661169
81.318904,17,58.770597
128.655361,26,58.959402
92.529988,19,59.126853
86.315306,18,59.269944
103.716022,21,59.470491
81.351493,17,59.601298
92.484476,19,59.745482
81.35832,17,59.893441
98.705924,20,60.05573
126.492782,25,60.247216
81.332375,17,60.361449
87.248643,19,60.513644
81.276909,17,60.666038
76.789024,16,60.789446
148.097934,31,61.049608
191.646841,40,65.19562
120.511325,25,65.376675
126.916247,27,65.561666
212.812895,46,65.879264
112.692668,22,66.028887
109.923018,22,66.170259
104.279377,21,66.30948
115.119287,23,66.462943
204.670135,42,66.799841
196.667502,40,67.082462
81.186732,17,67.201168
126.895773,25,67.380132
76.568239,16,67.497854
176.903492,34,67.778221
145.280493,33,68.040879
81.344796,17,68.180699
76.421223,16,68.328781
116.291808,24,68.583847
124.113763,25,68.768345
116.605144,24,68.944802
185.511438,38,69.245552
99.727938,21,69.395122
174.260708,35,69.653919
81.392324,17,69.759761
86.601289,18,69.931859
76.875792,16,70.050731
158.758968,30,70.235558
129.182588,27,70.441111
131.295195,26,70.659528
81.38789,17,70.770452
76.785329,16,70.906963
130.402417,26,71.098548
108.519132,22,71.241005
132.542056,27,71.427766
90.552176,19,71.579374
182.972127,35,71.792292
76.725294,16,71.904224
82.537729,17,72.021649
98.884422,20,72.193801
92.693049,19,72.430603
169.471424,35,72.701784
107.429341,22,72.839161
81.493949,17,72.922772
140.420066,27,73.137482
81.186007,17,73.216787
81.258664,17,73.302244
197.593695,42,73.535406
81.219771,17,73.612386
81.071947,17,73.708671
99.455018,20,73.821945
198.073408,39,74.020478
131.294831,27,74.163277
191.699171,38,74.389342
92.883865,19,74.48774
288.119446,55,75.053556
154.469396,30,75.339213
110.996712,22,75.462367
243.329269,49,75.769876
81.14478,17,75.873279
94.097623,19,76.02749
145.239308,31,76.237858
82.388646,17,76.375941
167.718418,35,76.646381
81.278386,17,76.765917
104.252177,22,76.914315
81.348392,17,77.057745
136.639539,28,77.295368
91.655921,19,77.428248
222.673974,45,77.780365
88.11361,18,77.919257
86.740042,18,78.046927
82.000945,17,78.181825
117.490493,24,78.419901
81.545978,17,78.540596
155.870394,31,78.781118
76.485688,16,78.893397
119.042627,24,79.065156
81.629707,17,79.180378
81.104737,17,79.294819
95.801746,20,79.439176
81.280625,17,79.544827
106.930001,22,79.688504
147.19123,33,79.923446
145.962053,30,83.608035
175.946309,35,83.851984
87.583553,18,84.026675
177.144921,35,84.35737
114.826637,23,84.557827
130.779975,26,84.753398
111.549578,22,84.917501
107.895613,22,85.099427
182.099485,37,85.388025
81.19195,17,85.518605
92.162894,19,85.664024
150.921153,31,85.891185
111.799838,23,86.063253
104.140049,21,86.212022
133.696819,27,86.388892
71.464278,15,86.503069
167.067341,34,86.752669
108.082238,22,86.937674
87.760663,18,87.163679
86.41117,18,87.437897
81.618661,17,87.639175
97.02168,21,87.814364
166.158209,33,88.086421
233.628918,46,88.460158
148.363871,31,88.725502
81.280397,17,88.939045
127.214657,27,89.17132
